Rank,Name,City,Position,Points,Games,Minutes,Rebounds,Assists,Steal,Block
313,Tristan da Silva,Orl,F,23.9,69,22.2,10.6,1.5,0.4,0.2
314,Bones Hyland,Lac,G,24.5,20,11.1,17.3,1.4,0.9,0.2
315,Sam Merrill,Cle,G,28.9,64,19.5,7.2,1.5,0.7,0.2
316,Jaxson Hayes,Lal,C-F,24.8,48,20,15.4,1.1,0.6,1
317,Bol Bol,Pho,C-F,25.4,33,13.1,9.2,0.6,0.3,0.8
318,Jusuf Nurkic,Cha,C,30.6,17,16.9,17.9,2.4,0.7,0.7
319,Ricky Council IV,Phi,G,23.7,64,16.4,9.4,1.3,0.5,0.2
320,Jay Huff,Mem,C,27.6,58,12,9.8,0.6,0.2,0.9
321,Thomas Bryant,Ind,C-F,27.7,47,15.4,9.3,1,0.5,0.5
322,Kelly Olynyk,Tor,F-C,33.9,24,16,22.8,2.3,0.7,0.3
323,Cole Swider,Tor,F,25.9,1,19.7,0,0,1,0
324,Marcus Garrett,Cha,G,26.4,4,19.9,18,3.3,0.8,0.5
325,KJ Simpson,Cha,G,22.6,26,20.8,16.6,2.7,0.8,0.2
326,Vince Williams Jr.,Mem,G,24.6,21,18.7,17.3,2,0.5,0.2
327,Isaiah Jackson,Ind,F,23.2,5,16.8,17.7,1,0.6,1.6
328,Cameron Payne,Nyk,G,30.6,66,14.9,10.2,2.7,0.5,0.2
329,Matisse Thybulle,Por,G-F,28.1,7,15.6,7.8,1.4,2.1,0.4
330,Colin Castleton,Tor,C,24.8,10,25.9,26.8,1.8,0.6,0.8
331,Vit Krejci,Atl,G,24.8,48,20.5,14.8,2.7,0.6,0.5
332,Jared Butler,Was,G,24.6,32,11.3,14.1,2.6,0.4,0.2
333,Chuma Okeke,Phi,F,26.6,7,24.5,8.3,1.9,0.7,0.4
334,Torrey Craig,Chi,F,34.3,9,12.5,0,0.6,0.2,0.1
335,Alex Caruso,Okc,G,31.1,48,19.3,10.7,2.6,1.6,0.6
336,Karlo Matkovic,Nor,F-C,24,35,18.1,17.8,1,0.5,1
337,Trayce Jackson-Davis,Gol,F,25.1,56,16.6,12.5,1.8,0.4,0.7
338,Eric Gordon,Phi,G,36.3,39,19.7,12.1,1.7,0.7,0.3
339,Jamal Shead,Tor,G,22.7,67,18.6,20.1,3.9,0.6,0.1
340,Ronald Holland II,Det,F,19.7,73,15.7,14.4,1,0.6,0.2
341,Gary Payton II,Gol,G,32.3,58,14.9,11.2,1.3,0.8,0.3
342,Ajay Mitchell,Okc,G,22.8,34,16.5,14.3,1.7,0.7,0.1
343,Ryan Dunn,Pho,F,22.2,65,18,6.9,0.7,0.5,0.6
344,Jordan Goodwin,Lal,G,26.4,20,20.4,13.3,1.5,1.2,0.6
345,Jeff Dowtin Jr.,Phi,G,27.9,39,14.4,6.4,1.8,0.5,0.3
346,Alec Burks,Mia,G,33.7,41,17.2,8.6,1.1,0.6,0.1
347,Jamison Battle,Tor,F,23.9,50,15.6,6.1,0.8,0.2,0.2
348,Marcus Sasser,Det,G,24.5,51,13.7,15.2,2.2,0.6,0.1
349,KJ Martin,Uta,F,24.2,16,22.9,10.8,1.4,0.3,0.4
350,KJ Martin,Phi,F,24.2,24,20,10.8,0.8,0.5,0.7
351,Precious Achiuwa,Nyk,F,25.5,49,20.2,12.6,1,0.8,0.7
352,DaQuan Jeffries,Cha,G-F,27.6,37,21.8,10.2,1.1,0.5,0.6
353,Dru Smith,Mia,G,27.2,14,19.2,21.7,1.6,1.5,0.4
354,Davion Mitchell,Tor,G,26.6,44,24.6,24.2,4.6,0.7,0.2
355,Haywood Highsmith,Mia,F,28.3,65,24.5,12.7,1.5,1,0.6
356,Trey Lyles,Sac,F,29.4,60,18.3,9.3,1.2,0.6,0.4
357,Simone Fontecchio,Det,F,29.3,66,16.9,12.7,0.9,0.4,0.2
358,Gabe Vincent,Lal,G,28.8,64,21.1,9.4,1.4,0.7,0.2
359,Ben Simmons,Bro,G-F,28.7,33,25,34.1,6.9,0.8,0.5
360,Donovan Clingan,Por,C,21.1,59,18.6,19.4,1,0.5,1.6
361,Jake LaRavia,Sac,F,23.4,19,19.3,15,1.3,0.9,0.2
362,Kris Dunn,Lac,G,31,64,23.8,14.5,3,1.7,0.4
363,Seth Curry,Cha,G,34.6,61,14.8,8.1,0.8,0.4,0.1
364,David Roddy,Phi,F,24,3,9.5,5,1,0.7,0
365,Isaiah Wong,Cha,G,24.2,20,13.3,14.6,1.4,0.6,0
366,James Wiseman,Ind,C,24,1,4.6,0,0,0,0
367,Terance Mann,Lac,G-F,28.4,37,19.8,11.3,1.6,0.8,0.3
368,Josh Okogie,Pho,G,26.6,25,14,12.3,0.6,0.8,0.4
369,Jeremiah Robinson-Earl,Nor,F,24.4,57,18,12.3,1.2,0.6,0.1
370,Isaiah Stewart,Det,F-C,23.9,67,19.7,17.4,1.7,0.4,1.4
371,Kenrich Williams,Okc,G-F,30.3,60,15.6,10.3,1.3,0.6,0.2
372,Elfrid Payton,Nor,G,31.1,9,20,30.4,7,1.2,0.6
373,Mouhamed Gueye,Atl,F,22.4,24,15.8,7.2,0.8,0.9,1
374,Jaylin Williams,Okc,F,22.7,43,16.8,12.9,2.5,0.4,0.6
375,Javonte Green,Nor,G,31.7,50,21.8,11.1,0.9,1.1,0.6
376,Drew Eubanks,Uta,F-C,28.2,37,15.4,17.6,1.2,0.3,0.9
377,Robert Williams III,Por,C-F,27.4,20,17.6,17.8,1.1,0.7,1.7
378,Sandro Mamukelashvili,San,F-C,25.8,51,9.5,8.2,0.7,0.4,0.3
379,Jarace Walker,Ind,F,21.6,66,15.1,19,1.4,0.7,0.3
380,Isaac Okoro,Cle,F-G,24.2,47,18.7,8.8,1.3,0.6,0.3
381,Alex Reese,Phi,F-C,25.9,10,16,11.3,0.3,0.8,0.8
382,Jonathan Mogbo,Tor,F,23.4,54,18.6,16.3,1.8,0.8,0.5
383,Lindy Waters III,Gol,F,27.7,38,17.2,7.6,1.1,0.6,0.3
384,Ben Sheppard,Ind,G,23.7,59,19.6,7.1,1.3,0.6,0.2
385,Oscar Tshiebwe,Uta,F-C,25.3,9,15.1,9,0.6,0.7,0
386,Keaton Wallace,Atl,G,26.1,28,16.2,17.3,2.2,0.8,0.3
387,Dean Wade,Cle,F-C,28.3,53,21.4,7.2,1.3,0.7,0.4
388,Talen Horton-Tucker,Chi,G,24.3,50,11.1,12.9,1.3,0.3,0.2
389,Luke Kornet,Bos,C-F,29.7,65,18.1,11.4,1.6,0.5,1
390,Kyle Anderson,Mia,F-G,31.5,16,15.2,13.6,2.3,0.4,0.3
391,Tidjane Salaun,Cha,F,19.6,50,19.3,14.6,1.1,0.5,0.2
392,Kobe Bufkin,Atl,G,21.5,10,12.4,14.5,1.7,0.3,0.2
393,Moussa Diabate,Cha,F,23.2,63,17.5,18.5,0.9,0.7,0.6
394,Jonathan Isaac,Orl,F,27.5,64,15.3,8.3,0.5,0.9,1.1
395,Kyle Anderson,Gol,F-G,31.5,36,15,10.6,2.3,0.7,0.6
396,Kevin Love,Mia,F-C,36.6,23,10.9,10.8,1,0.7,0.2
397,Ryan Rollins,Mil,G,22.7,47,12.7,15.3,1.4,0.7,0.3
398,Wendell Moore Jr.,Cha,G,23.5,12,17.1,16.9,1.2,0.4,0.2
399,Aaron Holiday,Hou,G,28.5,55,12.6,12.6,1.3,0.3,0.2
400,Bismack Biyombo,San,C,32.6,20,17.8,19.1,1.3,0.7,0.8
401,Quenton Jackson,Ind,G,26.5,25,12.6,12.6,1.9,0.6,0.2
402,Lester Quinones,Nor,G,24.4,1,10.9,25,0,1,0
403,Mitchell Robinson,Nyk,C-F,27,11,16,14.5,0.5,0.9,0.9
404,Alondes Williams,Det,G,25.8,1,3.7,0,1,0,0
405,Monte Morris,Pho,G,29.8,42,12.7,9.1,1.6,0.5,0.1
406,Rob Dillingham,Min,G,20.2,44,11.5,19.7,2.2,0.4,0
407,Neemias Queta,Bos,C,25.7,56,13.8,16.9,0.6,0.3,0.6
408,Marvin Bagley III,Was,F,26,19,8.8,13.4,0.4,0.4,0.3
409,Jeff Green,Hou,F,38.6,27,12.2,7.7,0.5,0.2,0.1
410,Cody Martin,Pho,F,29.5,6,15.7,15.6,1.3,1.5,0.5
411,Antonio Reeves,Nor,G,22.4,35,10.9,10.9,0.7,0.4,0.1
412,Jaylen Martin,Was,G,21.2,9,14.9,15.9,1,0.2,0
413,Caleb Martin,Dal,F,29.5,6,18.9,12.8,2.2,0.7,0.3
414,Cody Williams,Uta,F,20.3,49,21.1,14.6,1.2,0.4,0.3
415,Jaylen Clark,Min,G,23.5,31,14.3,4.5,0.7,1.1,0.1
416,Taylor Hendricks,Uta,F,21.3,3,24.8,9.8,0.7,1.7,1.3
417,Kevon Looney,Gol,F,29.1,66,15.1,12.7,1.6,0.6,0.5
418,Markieff Morris,Lal,F,35.6,7,13,2.5,1.6,0,0.1
419,Keion Brooks Jr.,Nor,F,24.6,5,16.2,18,0.8,0.2,0.6
420,Jabari Walker,Por,F,22.7,52,11.5,12.2,0.6,0.5,0.1
421,Charles Bassey,San,C-F,24.4,34,10.7,16.5,0.5,0.4,0.9
422,Mo Bamba,Lac,C,26.9,28,12.6,15.5,0.6,0.3,1
423,Zach Collins,San,F-C,27.4,36,11.8,14.8,1.4,0.4,0.4
424,Trentyn Flowers,Lac,F,20.1,2,7.9,9.6,0,0,0
425,Maxwell Lewis,Bro,F,22.7,13,12,9.4,0.6,0.5,0.2
426,David Roddy,Atl,F,24,27,12.8,17.6,1.1,0.4,0.3
427,Terrence Shannon Jr.,Min,G-F,24.7,31,10.8,11.6,1,0.2,0.2
428,JT Thor,Was,F,22.6,5,16.3,0,0.8,0.6,0.6
429,Duop Reath,Por,C,28.8,42,10.2,9,0.6,0.3,0.3
430,Julian Phillips,Chi,F,21.4,71,14,9,0.5,0.5,0.3
431,Jordan Miller,Lac,G,25.2,34,12.1,15.4,1,0.5,0.1
432,Dariq Whitehead,Bro,G-F,20.7,11,7.6,15.9,0.2,0.4,0.1
433,Dalen Terry,Chi,F,22.7,66,12.9,16.3,1.3,0.5,0.2
434,Gui Santos,Gol,F,22.8,47,13.7,19.1,1.3,0.4,0.2
435,Tre Jones,San,G,25.2,28,16.1,18.4,3.7,0.6,0.2
436,Mason Plumlee,Pho,F-C,35.1,69,17.6,22.3,1.8,0.4,0.6
437,Reggie Jackson,Phi,G,34.9,31,12.4,11.3,1.5,0.5,0.1
438,Patty Mills,Uta,G,36.6,17,15.3,16.4,1.2,0.7,0.2
439,Trevelin Queen,Orl,G,28.1,28,13.8,14.1,1.2,1,0.4
440,Daniel Theis,Nor,F-C,33,38,16.4,16.2,1.6,0.5,0.5
441,Dominick Barlow,Atl,F,21.8,27,10.4,3.2,0.4,0.3,0.5
442,Micah Potter,Uta,C,27,33,17.7,18.9,0.8,0.3,0.3
443,Kessler Edwards,Dal,F,24.6,40,15.2,10.6,1.1,0.5,0.5
444,Ben Simmons,Lac,G-F,28.7,11,17.7,14.2,3.5,0.9,0.5
445,Javonte Green,Cle,G,31.7,10,8.1,5.4,0.7,0.4,0
446,Adem Bona,Phi,F,22,49,12.7,22.9,0.4,0.3,0.9
447,Jett Howard,Orl,G,21.5,56,11.2,10.3,0.7,0.2,0.2
448,Paul Reed,Det,F,25.8,39,9,14.7,0.9,0.9,0.5
449,Jock Landale,Hou,C,29.4,37,10.7,12.1,0.8,0.2,0.2
450,Jarred Vanderbilt,Lal,F,26,28,16.6,18.9,1.3,1,0.3
451,Landry Shamet,Nyk,G,28,40,13.4,10.5,0.5,0.5,0.1
452,Thomas Bryant,Mia,C-F,27.7,10,11.5,6.6,0.4,0.1,0.9
453,Pat Connaughton,Mil,G,32.2,35,14,13.8,1.6,0.2,0.3
454,Phillip Wheeler,Phi,F,22.9,1,15.5,0,2,0,0
455,Lamar Stevens,Mem,F,27.7,10,10,14.9,0.5,0.4,0.3
456,Malachi Flynn,Cha,G,26.9,4,10.9,23,1.8,0.8,0
457,Devin Carter,Sac,G,23,29,10.2,11.7,1.2,0.5,0.1
458,Collin Gillespie,Pho,G,25.8,24,10.3,8.4,1.8,0.3,0.1
459,MarJon Beauchamp,Lac,F,24.5,3,5.7,12.2,0.7,0,0
460,Josh Richardson,Mia,G,31.5,8,18.7,17.2,1.5,1,0.1
461,Kyle Lowry,Phi,G,39,33,18.9,15.2,2.8,0.9,0.3
462,Cam Spencer,Mem,G,25,20,10,8,1.3,0.3,0.1
463,Reed Sheppard,Hou,G,20.8,45,11.9,12.5,1.2,0.6,0.3
464,Olivier-Maxence Prosper,Dal,F,22.7,52,11.2,7.4,0.8,0.5,0.1
465,Kris Murray,Por,F,24.6,61,14.1,12.7,0.9,0.5,0.2
466,Malaki Branham,San,F,21.9,40,8.2,19.1,0.7,0.2,0.1
467,Nicolas Batum,Lac,G-F,36.3,70,17.8,12.3,1.2,0.7,0.5
468,Oso Ighodaro,Pho,F,22.7,52,15.8,18.3,1.1,0.4,0.4
469,Pelle Larsson,Mia,G,24.1,49,12.3,10,0.9,0.4,0.1
470,Ousmane Dieng,Okc,F,21.9,37,10.9,12.6,0.8,0.5,0.2
471,Shake Milton,Lal,G,28.5,26,11.3,17.5,1.3,0.3,0.1
472,Steven Adams,Hou,C,31.7,53,13.4,25,1.2,0.4,0.5
473,Luka Garza,Min,C,26.3,35,6.1,9.6,0.3,0.2,0.1
474,Tony Bradley,Ind,C-F,27.2,8,5.6,18.2,0.4,0.1,0.4
475,Isaac Jones,Sac,F,24.7,34,7.7,16.2,0.3,0.1,0.3
476,Andre Jackson Jr.,Mil,G,23.4,60,15.2,22.2,1.3,0.6,0.2
477,Jae'Sean Tate,Hou,F,29.4,47,11.3,12.3,0.9,0.5,0.1
478,Jevon Carter,Chi,G,29.5,31,7.5,8.4,1,0.3,0.1
479,DeAndre Jordan,Den,C,36.7,49,12.3,24,1,0.3,0.4
480,Jalen Pickett,Den,G,25.4,41,11.4,11.5,1.9,0.3,0.1
481,Kevin Knox II,Gol,F,25.6,8,6.9,3.9,0.5,0.1,0.5
482,Dario Saric,Den,F-C,31,15,13.5,19.9,1.5,0.5,0.1
483,Caleb Houstan,Orl,G,22.2,50,12.1,3.9,0.4,0.3,0.1
484,Blake Wesley,San,G,22,48,10.1,23.5,1.9,0.6,0.1
485,Bruno Fernando,Tor,F-C,26.6,17,8.6,22.1,1.1,0.2,0.5
486,Branden Carlson,Okc,C,25.8,24,6.5,6.5,0.4,0.2,0.5
487,Nae'Qwan Tomlin,Cle,F,24.3,3,4.8,10.8,0,0,0
488,Torrey Craig,Bos,F,34.3,12,8.9,6.6,0.3,0.2,0.4
489,Damion Lee,Pho,G-F,32.4,19,6,12,0.5,0.2,0
490,Doug McDermott,Sac,F,33.2,37,7.8,5.9,0.1,0.1,0.1
491,Jackson Rowe,Gol,F,28.2,5,8.5,6.2,0.6,0.6,0
492,Elijah Harkless,Uta,G,25.1,10,13.8,7.8,0.8,1,0.1
493,Jamal Cain,Nor,F,26,29,11.2,13,0.6,0.4,0.3
494,Wendell Moore Jr.,Det,G,23.5,20,10.9,15.1,1.2,0.5,0.2
495,Zeke Nnaji,Den,F-C,24.2,52,10.5,8.4,0.4,0.4,0.7
496,Moses Brown,Ind,C,25.5,9,5.1,22.8,0,0.2,0.1
497,Cam Reddish,Lal,F-G,25.6,33,17.9,11.3,0.7,1,0.3
498,Cory Joseph,Orl,G,33.6,43,10.8,10.3,1.2,0.4,0.1
499,JT Thor,Cle,F,22.6,9,4.7,28.1,0.1,0.2,0.3
500,Marcus Bagley,Phi,F,23.4,2,18.4,0,0.5,0.5,0
501,Jaylon Tyson,Cle,G-F,22.3,42,8.8,15.2,0.9,0.2,0
502,Taze Moore,Por,G,26.7,2,10,16.4,0.5,1,0
503,Baylor Scheierman,Bos,G,24.5,23,10.3,5.9,1,0.4,0.1
504,Kylor Kelley,Dal,C,27.6,8,8.3,7,0.3,0,0.3
505,Maxi Kleber,Dal,F,33.2,34,18.7,19.3,1.3,0.3,0.5
506,Taj Gibson,Cha,F,39.8,29,11,21.2,0.6,0.3,0.4
507,AJ Johnson,Mil,G,20.3,7,6.3,17.2,1,0.1,0
508,Trey Jemison,Lal,C,25.3,17,11.1,17.3,0.2,0.1,0.5
509,Craig Porter,Cle,G,25.1,45,8.6,21,1.3,0.3,0.3
510,Markelle Fultz,Sac,G,26.8,16,8.4,21.2,1,0.4,0.1
511,Jae Crowder,Sac,F,34.7,7,13.1,18.7,0.6,0.4,0
512,Nate Williams,Hou,G,26.1,14,6.1,19,0.4,0.4,0.3
513,Gary Harris,Orl,G,30.5,40,15.4,9.9,0.6,0.6,0.3
514,Jaden Springer,Uta,G,22.5,10,8.9,23.7,1.3,0.5,0.2
515,Drew Eubanks,Lac,F-C,28.2,16,7.5,13.4,0.3,0.1,0.3
516,Mo Bamba,Nor,C,26.9,4,15.3,9.6,0.5,0,0.8
517,Christian Koloko,Lal,C,24.8,34,9.4,16.1,0.5,0.2,0.3
518,Pat Spencer,Gol,G,28.7,33,6.7,14.1,1.2,0.4,0.1
519,John Konchar,Mem,G,29,41,12.5,14.8,0.9,0.5,0.3
520,Delon Wright,Mil,G,32.9,26,15.6,14.5,1.8,0.9,0.3
521,Trey Jemison,Nor,C,25.3,16,10.4,23.7,0.6,0.4,0.4
522,Hunter Tyson,Den,F,24.8,46,7.7,12.7,0.4,0.2,0.1
523,Josh Minott,Min,F,22.3,41,6.3,11.9,0.4,0.4,0.3
524,TyTy Washington Jr.,Pho,G,23.4,13,7.9,7.1,1.2,0.2,0
525,Johnny Davis,Was,G,23.1,34,7.1,8.2,0.3,0.4,0.2
526,Jericho Sims,Mil,C,26.4,14,15,32.4,0.8,0.1,0.6
527,Bronny James,Lal,G,20.5,23,5.9,16,0.6,0.2,0.1
528,Tyler Smith,Mil,F,20.4,19,4.6,13.6,0.2,0.1,0.2
529,Dillon Jones,Okc,F,23.4,45,9.4,13.4,1,0.2,0.1
530,Lester Quinones,Phi,G,24.4,4,4.3,32.2,0.3,0,0
531,Lindy Waters III,Det,F,27.7,10,4.9,13.6,0.5,0.3,0
532,Anthony Gill,Was,F,32.4,47,6.7,12.9,0.3,0.2,0
533,Mason Jones,Sac,G,26.7,10,4.5,5.2,1.1,0,0.1
534,Kai Jones,Lac,C-F,24.2,28,7.4,21.6,0.4,0.2,0.4
535,Dwight Powell,Dal,F-C,33.7,49,10.3,24.6,1.1,0.3,0.4
536,Drew Peterson,Bos,F,25.4,20,7.6,17,0.7,0.3,0.1
537,Reece Beekman,Bro,G,23.5,28,11.8,17.3,1.3,0.6,0.1
538,Pete Nance,Phi,F,25.1,7,9.8,0,0.4,0.1,0
539,Patrick Baldwin Jr.,Was,F,22.4,22,4.6,13.1,0.1,0.1,0.1
540,Orlando Robinson,Sac,C,24.7,9,6.3,18.8,1,0.3,0.1
541,E.J. Liddell,Chi,F,24.3,7,4.7,16.1,0.4,0.1,0
542,Chris Duarte,Chi,G,27.8,17,4.4,3.7,0.5,0,0
543,Kevin McCullar Jr.,Nyk,G,24,1,3.2,0,0,0,0
544,Jamaree Bouyea,Mil,G,25.8,1,4.6,50,1,1,0
545,Alex Reese,Okc,F-G,25.9,1,1.9,0,0,0,0
546,Adama Sanogo,Chi,F,23.1,4,5.4,12.5,0.3,0,0
547,Kobe Brown,Lac,F,25.2,34,6.7,11.2,0.6,0.2,0.1
548,Jalen Hood-Schifino,Lal,G,21.8,2,7.1,41,0.5,0,0.5
549,Rayan Rupert,Por,G-F,20.8,44,7.1,20.3,0.4,0.2,0
550,MarJon Beauchamp,Mil,F,24.5,26,4.7,21.5,0.3,0.1,0
551,Jordan McLaughlin,San,G,29,10,4.1,9.6,1.2,0.2,0
552,Jack McVeigh,Hou,G-F,28.7,7,4.1,7.1,0.1,0,0.1
553,Marvin Bagley III,Mem,F,26,7,7,0,0,0,0.3
554,Alex Len,Lal,C,31.8,9,12.1,24.9,0.8,0.1,0.2
555,Ariel Hukporti,Nyk,C,23,25,8.7,40.2,0.4,0,0.6
556,Jordan McLaughlin,Sac,G,29,28,6.8,19.9,0.9,0.4,0
557,MarJon Beauchamp,Nyk,F,24.5,4,2.5,11.1,0,0.3,0
558,Tyler Kolek,Nyk,G,24,36,6,13.8,1.3,0.3,0.1
559,Leonard Miller,Min,F,21.3,10,2.7,12.2,0,0.2,0.1
560,Bones Hyland,Min,G,24.5,3,5.1,25,1.3,0,0
561,Enrique Freeman,Ind,F,24.7,20,7,16.5,0.4,0.1,0.1
562,JD Davison,Bos,G,22.5,12,4.3,32.8,0.4,0.3,0
563,Jaden Springer,Bos,G,22.5,26,5.4,10.4,0.4,0.5,0
564,Markieff Morris,Dal,F,35.6,7,5.8,8.3,0.6,0.1,0.1
565,Patty Mills,Lac,G,36.6,9,4.3,8.8,0.4,0.1,0
566,Armel Traore,Lal,F,22.2,9,7.4,13.6,0.1,0.4,0.2
567,Pacome Dadiet,Nyk,F,19.7,16,6.2,9.6,0.3,0.2,0.1
568,Cam Christie,Lac,G,19.7,8,5.1,11.6,0.6,0.4,0
569,Keshad Johnson,Mia,F,23.8,10,5.7,19.9,0.3,0.1,0.4
570,Johnny Furphy,Ind,G,20.3,43,6.6,12.3,0.2,0.3,0.2
571,Jordan Walsh,Bos,G,21.1,46,7.8,14.6,0.3,0.2,0.2
572,Jericho Sims,Nyk,C,26.4,39,10.8,31.2,0.6,0.2,0.3
573,Alex Ducas,Okc,G,24.3,19,5.1,13.8,0.2,0.3,0
574,Quincy Olivari,Lal,G,23.8,2,5.2,16.7,0.5,0,0
575,Jazian Gortman,Dal,G,22,16,3.5,17.7,0.4,0.1,0.1
576,Matt Ryan,Nyk,F,27.9,19,3.6,8.7,0.2,0.1,0
577,Vlatko Cancar,Den,F,28,11,9.7,29.6,0.6,0.1,0.1
578,Tristan Thompson,Cle,C-F,34,37,7.1,15.9,0.6,0,0.2
579,PJ Hall,Den,C,23.1,18,3.4,9,0.2,0,0.2
580,Adam Flagler,Okc,G,25.3,31,4.5,4,0.3,0.2,0.1
581,Colin Castleton,Mem,C,24.8,10,4.6,8.8,0,0.1,0.1
582,Alex Len,Sac,C,31.8,36,7.2,21.1,0.8,0.2,0.5
583,Skal Labissiere,Sac,F-C,29,4,3,0,0.3,0,0
584,Sidy Cissoko,San,G,21,17,3.2,10,0.4,0.1,0
585,David Duke Jr.,San,G,25.5,4,4.4,12.2,0.8,0,0
586,Garrett Temple,Tor,G-F,38.9,25,7.3,19.1,1,0.6,0.1
587,Yuki Kawamura,Mem,G,23.9,20,3.2,15.2,0.7,0.1,0
588,Spencer Jones,Den,F,23.8,18,5.2,13.6,0.1,0.3,0.2
589,Chris Livingston,Mil,F,21.5,17,4.6,20.6,0.1,0.3,0
590,Anton Watson,Nyk,F,24.5,7,2.6,20,0.3,0,0
591,Colby Jones,Sac,G,22.8,24,5.4,21.2,0.3,0.3,0.3
592,Pete Nance,Mil,F,25.1,2,4.7,0,0,0,0
593,Yuri Collins,Gol,G,24.1,2,8.2,0,2,1,0
594,Jaylen Martin,Bro,G,21.2,3,1.6,0,0,0,0
595,Reece Beekman,Gol,G,23.5,2,2.1,0,0.5,0.5,0
596,Trey Alexander,Den,G,21.9,19,4.4,10.2,0.4,0.1,0.1
597,Jared Rhoden,Cha,G,25.6,4,2.9,11.1,0.5,0.3,0
598,Bryce McGowens,Por,G,22.4,13,2.5,21.8,0.2,0.1,0
599,Xavier Tillman,Bos,F,26.2,29,7.1,20.6,0.2,0.3,0.2
600,Delon Wright,Nyk,G,32.9,7,5.2,32.2,0.9,0.1,0.1
601,Elfrid Payton,Cha,G,31.1,6,20.6,25,3.3,1,0.5
602,RayJ Dennis,Ind,G,24,8,2.9,27.7,0.6,0.4,0
603,Isaiah Crawford,Sac,F,23.4,14,3.1,8.9,0.1,0.1,0.1
604,Emoni Bates,Cle,F,21.2,7,3.9,0,0.6,0.1,0
605,Luke Travers,Cle,F,23.6,9,6.1,30.4,0.6,0.1,0.1
606,Jalen Bridges,Pho,F,23.9,5,5,48.7,0,0,0
607,D.J. Carton,Tor,G,24.6,4,8.4,35,0.8,0.5,0
608,Josh Christopher,Mia,G,23.3,8,3.5,35.7,0.5,0,0.1
609,PJ Dozier,Min,G-F,28.4,9,3.9,24.5,0.6,0.1,0
610,Joe Ingles,Min,F-G,37.5,19,6,28.1,1.2,0.1,0
611,Ulrich Chomche,Tor,C,19.2,7,4.6,27.7,0.3,0,0.1
612,Liam Robbins,Mil,C,25.7,13,4.4,42.2,0.2,0.2,0.2
613,Harrison Ingram,San,F,22.3,3,5.8,0,0.3,0.3,0
614,James Johnson,Ind,F,38.1,12,3.1,26.7,0.3,0,0.2
615,Cui Yongxi,Bro,F,21.8,5,2.1,0,0,0,0
616,Tristen Newton,Ind,G,23.9,5,1.6,13.4,0.2,0,0
617,Maxwell Lewis,Lal,F,22.7,7,4.2,25,0.3,0.1,0
618,Stanley Umude,Mil,G,26,20,3.2,7.9,0.2,0.2,0.2
619,Jacob Toppin,Nyk,F,24.9,16,3,16.7,0.3,0.1,0
620,Malevy Leons,Okc,F,25.5,6,3.5,31.1,0.2,0,0
621,Daishen Nix,Min,G,23.1,3,4.4,76.6,1,0,0
622,Justin Minaya,Por,F,26,11,2.4,0,0.2,0.1,0
623,Terry Taylor,Sac,F,25.5,3,2.1,0,0.7,0,0
624,P.J. Tucker,Nyk,F,39.9,1,1.8,0,0,0,0
625,Miles Norris,Bos,F,24.9,1,4,0,0,0,0
626,Emanuel Miller,Chi,F,24.8,1,2.4,0,0,0,0
627,Jahmir Young,Chi,G,24.5,1,2.4,0,1,0,0
628,Vasilije Micic,Pho,G,31.2,3,3.7,100,0,0,0
629,Jesse Edwards,Min,C,25,2,2.4,0,0.5,0,0
630,Sidy Cissoko,Por,G,21,3,2.2,100,0,0,0
631,Daniss Jenkins,Det,G,23.6,5,2,20,0,0,0
632,Riley Minix,San,F,24.5,1,6.8,0,0,0,0
633,Zyon Pullin,Mem,G,24.1,3,0.9,0,0,0,0
634,Tristen Newton,Min,G,23.9,3,2.7,33.3,0.3,0.3,0
635,Bobi Klintman,Det,F,22.1,6,2.9,33.3,0.2,0,0.2
636,Cole Swider,Det,F,25.9,2,6.6,0,0.5,0,0
637,Mac McClung,Orl,G,26.2,2,5.1,0,1.5,0,0
638,Jalen McDaniels,Was,F,27.2,4,1.9,0,0.3,0.3,0
639,Jahlil Okafor,Ind,C-F,29.3,1,3.4,0,1,0,0
